disability_group,age,state,district,supply_class,average_payment_annual,participant_count
Developmental delay,0 to 6,SA,Western Adelaide,Capacity Building,23000,140
Developmental delay,0 to 6,SA,Western Adelaide,Core,2000,80
Developmental delay,0 to 6,SA,Yorke and Mid North,Capacity Building,17000,87
Developmental delay,0 to 6,SA,Yorke and Mid North,Core,1000,43
Developmental delay,7 to 14,SA,"Barossa, Light and Lower North",Capacity Building,15000,12
Developmental delay,7 to 14,SA,Eastern Adelaide,Capacity Building,11000,28
Developmental delay,7 to 14,SA,Eastern Adelaide,Core,2000,11
Developmental delay,7 to 14,SA,Eyre and Western,Capacity Building,11000,15
Developmental delay,7 to 14,SA,Murray and Mallee,Capacity Building,9000,19
Developmental delay,7 to 14,SA,Northern Adelaide,Capacity Building,12000,162
Developmental delay,7 to 14,SA,Northern Adelaide,Core,2000,80
Developmental delay,7 to 14,SA,Southern Adelaide,Capacity Building,15000,56
Developmental delay,7 to 14,SA,Southern Adelaide,Core,4000,44
Developmental delay,7 to 14,SA,Western Adelaide,Capacity Building,15000,34
Developmental delay,7 to 14,SA,Western Adelaide,Core,1000,19
Developmental delay,7 to 14,SA,Yorke and Mid North,Capacity Building,16000,15
Developmental delay,7 to 14,SA,Yorke and Mid North,Core,2000,14
Down Syndrome,0 to 6,SA,Northern Adelaide,Capacity Building,34000,18
Down Syndrome,0 to 6,SA,Northern Adelaide,Core,11000,11
Down Syndrome,0 to 6,SA,Southern Adelaide,Core,6000,11
Down Syndrome,19 to 24,SA,Northern Adelaide,Core,92000,20
Down Syndrome,19 to 24,SA,Southern Adelaide,Core,136000,14
Down Syndrome,25 to 34,SA,Northern Adelaide,Core,87000,24
Down Syndrome,25 to 34,SA,Southern Adelaide,Core,153000,15
Down Syndrome,35 to 44,SA,Northern Adelaide,Core,145000,15
Down Syndrome,35 to 44,SA,Southern Adelaide,Capacity Building,93000,16
Down Syndrome,35 to 44,SA,Southern Adelaide,Core,196000,21
Down Syndrome,45 to 54,SA,Northern Adelaide,Core,344000,18
Down Syndrome,45 to 54,SA,Southern Adelaide,Capacity Building,79000,27
Down Syndrome,45 to 54,SA,Southern Adelaide,Core,317000,11
Down Syndrome,55 to 64,SA,Southern Adelaide,Capacity Building,83000,13
Down Syndrome,7 to 14,SA,Northern Adelaide,Capacity Building,49000,11
Down Syndrome,7 to 14,SA,Northern Adelaide,Core,18000,16
Global developmental delay,0 to 6,SA,Adelaide Hills,Capacity Building,22000,21
Global developmental delay,0 to 6,SA,Adelaide Hills,Core,3000,15
Global developmental delay,0 to 6,SA,"Barossa, Light and Lower North",Capacity Building,25000,27
Global developmental delay,0 to 6,SA,"Barossa, Light and Lower North",Core,5000,26
Global developmental delay,0 to 6,SA,Eastern Adelaide,Capacity Building,27000,46
Global developmental delay,0 to 6,SA,Eastern Adelaide,Core,2000,37
Global developmental delay,0 to 6,SA,Eyre and Western,Capacity Building,19000,37
Global developmental delay,0 to 6,SA,Limestone Coast,Capacity Building,14000,25
Global developmental delay,0 to 6,SA,Murray and Mallee,Capacity Building,15000,28
Global developmental delay,0 to 6,SA,Murray and Mallee,Core,2000,18
Global developmental delay,0 to 6,SA,Northern Adelaide,Capacity Building,21000,292
Global developmental delay,0 to 6,SA,Northern Adelaide,Core,4000,171
Global developmental delay,0 to 6,SA,Southern Adelaide,Capacity Building,22000,177
Global developmental delay,0 to 6,SA,Southern Adelaide,Core,3000,103
Global developmental delay,0 to 6,SA,Western Adelaide,Capacity Building,26000,68
Global developmental delay,0 to 6,SA,Western Adelaide,Core,8000,39
Global developmental delay,7 to 14,SA,Eastern Adelaide,Capacity Building,22000,15
Global developmental delay,7 to 14,SA,Eyre and Western,Capacity Building,8000,17
Global developmental delay,7 to 14,SA,Northern Adelaide,Capacity Building,18000,88
Global developmental delay,7 to 14,SA,Northern Adelaide,Core,6000,59
Global developmental delay,7 to 14,SA,Southern Adelaide,Capacity Building,15000,47
Global developmental delay,7 to 14,SA,Southern Adelaide,Core,2000,32
Global developmental delay,7 to 14,SA,Western Adelaide,Capacity Building,13000,19
Hearing Impairment,0 to 6,SA,Northern Adelaide,Capacity Building,18000,31
Hearing Impairment,0 to 6,SA,Northern Adelaide,Core,8000,23
Hearing Impairment,0 to 6,SA,Southern Adelaide,Capacity Building,18000,18
Hearing Impairment,0 to 6,SA,Southern Adelaide,Core,1000,15
Hearing Impairment,15 to 18,SA,Northern Adelaide,Capacity Building,7000,21
Hearing Impairment,15 to 18,SA,Northern Adelaide,Core,8000,15
Hearing Impairment,19 to 24,SA,Northern Adelaide,Capacity Building,16000,17
Hearing Impairment,19 to 24,SA,Northern Adelaide,Core,7000,23
Hearing Impairment,25 to 34,SA,Northern Adelaide,Capacity Building,8000,22
Hearing Impairment,25 to 34,SA,Northern Adelaide,Core,5000,27
Hearing Impairment,25 to 34,SA,Southern Adelaide,Core,11000,11
Hearing Impairment,35 to 44,SA,Northern Adelaide,Capacity Building,19000,23
Hearing Impairment,35 to 44,SA,Northern Adelaide,Core,11000,28
Hearing Impairment,35 to 44,SA,Southern Adelaide,Core,7000,18
Hearing Impairment,45 to 54,SA,Northern Adelaide,Capacity Building,23000,26
Hearing Impairment,45 to 54,SA,Northern Adelaide,Core,14000,33
Hearing Impairment,45 to 54,SA,Southern Adelaide,Capacity Building,9000,21
Hearing Impairment,45 to 54,SA,Southern Adelaide,Core,13000,28
Hearing Impairment,55 to 64,SA,Eastern Adelaide,Core,4000,15
Hearing Impairment,55 to 64,SA,Northern Adelaide,Capacity Building,18000,33
Hearing Impairment,55 to 64,SA,Northern Adelaide,Core,13000,52
Hearing Impairment,55 to 64,SA,Southern Adelaide,Capacity Building,11000,37
Hearing Impairment,55 to 64,SA,Southern Adelaide,Core,14000,28
Hearing Impairment,55 to 64,SA,Western Adelaide,Core,10000,19
Hearing Impairment,65+,SA,Northern Adelaide,Core,8000,32
Hearing Impairment,65+,SA,Southern Adelaide,Core,17000,11
Hearing Impairment,7 to 14,SA,Adelaide Hills,Capacity Building,10000,16
Hearing Impairment,7 to 14,SA,Eastern Adelaide,Capacity Building,10000,14
Hearing Impairment,7 to 14,SA,Eastern Adelaide,Core,1000,16
Hearing Impairment,7 to 14,SA,Northern Adelaide,Capacity Building,9000,54
Hearing Impairment,7 to 14,SA,Northern Adelaide,Core,4000,59
Hearing Impairment,7 to 14,SA,Southern Adelaide,Capacity Building,10000,36
Hearing Impairment,7 to 14,SA,Southern Adelaide,Core,4000,42
Hearing Impairment,7 to 14,SA,Western Adelaide,Core,3000,18
Intellectual Disability,0 to 6,SA,Northern Adelaide,Capacity Building,63000,16
Intellectual Disability,0 to 6,SA,Northern Adelaide,Core,11000,18
Intellectual Disability,0 to 6,SA,Southern Adelaide,Capacity Building,34000,16
Intellectual Disability,0 to 6,SA,Southern Adelaide,Core,13000,14
Intellectual Disability,15 to 18,SA,Adelaide Hills,Capacity Building,33000,13
Intellectual Disability,15 to 18,SA,"Barossa, Light and Lower North",Capacity Building,30000,24
Intellectual Disability,15 to 18,SA,"Barossa, Light and Lower North",Core,53000,26
Intellectual Disability,15 to 18,SA,Eastern Adelaide,Capacity Building,19000,33
Intellectual Disability,15 to 18,SA,Eyre and Western,Capacity Building,31000,26
Intellectual Disability,15 to 18,SA,Fleurieu and Kangaroo Island,Capacity Building,22000,23
Intellectual Disability,15 to 18,SA,Limestone Coast,Capacity Building,16000,20
Intellectual Disability,15 to 18,SA,Murray and Mallee,Capacity Building,17000,32
Intellectual Disability,15 to 18,SA,Murray and Mallee,Core,46000,20
Intellectual Disability,15 to 18,SA,Northern Adelaide,Capacity Building,28000,182
Intellectual Disability,15 to 18,SA,Northern Adelaide,Core,83000,98
Intellectual Disability,15 to 18,SA,Southern Adelaide,Capacity Building,34000,104
Intellectual Disability,15 to 18,SA,Southern Adelaide,Core,56000,63
Intellectual Disability,15 to 18,SA,Western Adelaide,Capacity Building,41000,34
Intellectual Disability,15 to 18,SA,Western Adelaide,Core,72000,17
Intellectual Disability,15 to 18,SA,Yorke and Mid North,Capacity Building,36000,31
Intellectual Disability,15 to 18,SA,Yorke and Mid North,Core,42000,22
Intellectual Disability,19 to 24,SA,Adelaide Hills,Core,145000,13
Intellectual Disability,19 to 24,SA,"Barossa, Light and Lower North",Capacity Building,52000,27
Intellectual Disability,19 to 24,SA,"Barossa, Light and Lower North",Core,62000,27
Intellectual Disability,19 to 24,SA,Eastern Adelaide,Capacity Building,68000,42
Intellectual Disability,19 to 24,SA,Eastern Adelaide,Core,162000,34
Intellectual Disability,19 to 24,SA,Eyre and Western,Capacity Building,79000,26
Intellectual Disability,19 to 24,SA,Eyre and Western,Core,94000,16
Intellectual Disability,19 to 24,SA,Fleurieu and Kangaroo Island,Capacity Building,34000,14
Intellectual Disability,19 to 24,SA,Limestone Coast,Capacity Building,64000,19
Intellectual Disability,19 to 24,SA,Limestone Coast,Core,100000,28
Intellectual Disability,19 to 24,SA,Murray and Mallee,Capacity Building,49000,29
Intellectual Disability,19 to 24,SA,Murray and Mallee,Core,116000,22
Intellectual Disability,19 to 24,SA,Northern Adelaide,Capacity Building,60000,195
Intellectual Disability,19 to 24,SA,Northern Adelaide,Core,160000,182
Intellectual Disability,19 to 24,SA,Southern Adelaide,Capacity Building,63000,110
Intellectual Disability,19 to 24,SA,Southern Adelaide,Core,116000,122
Intellectual Disability,19 to 24,SA,Western Adelaide,Capacity Building,74000,33
Intellectual Disability,19 to 24,SA,Western Adelaide,Core,114000,41
Intellectual Disability,19 to 24,SA,Yorke and Mid North,Capacity Building,64000,23
Intellectual Disability,19 to 24,SA,Yorke and Mid North,Core,69000,24
Intellectual Disability,25 to 34,SA,Adelaide Hills,Capacity Building,78000,17
Intellectual Disability,25 to 34,SA,Adelaide Hills,Core,266000,15
Intellectual Disability,25 to 34,SA,"Barossa, Light and Lower North",Capacity Building,78000,26
Intellectual Disability,25 to 34,SA,"Barossa, Light and Lower North",Core,86000,23
Intellectual Disability,25 to 34,SA,Eastern Adelaide,Capacity Building,57000,51
Intellectual Disability,25 to 34,SA,Eastern Adelaide,Core,247000,42
Intellectual Disability,25 to 34,SA,Eyre and Western,Capacity Building,98000,24
Intellectual Disability,25 to 34,SA,Eyre and Western,Core,115000,30
Intellectual Disability,25 to 34,SA,Fleurieu and Kangaroo Island,Capacity Building,108000,14
Intellectual Disability,25 to 34,SA,Fleurieu and Kangaroo Island,Core,92000,16
Intellectual Disability,25 to 34,SA,Limestone Coast,Capacity Building,37000,33
Intellectual Disability,25 to 34,SA,Limestone Coast,Core,155000,27
Intellectual Disability,25 to 34,SA,Murray and Mallee,Capacity Building,49000,19
Intellectual Disability,25 to 34,SA,Murray and Mallee,Core,86000,25
Intellectual Disability,25 to 34,SA,Northern Adelaide,Capacity Building,72000,203
Intellectual Disability,25 to 34,SA,Northern Adelaide,Core,205000,189
Intellectual Disability,25 to 34,SA,Southern Adelaide,Capacity Building,75000,113
Intellectual Disability,25 to 34,SA,Southern Adelaide,Core,205000,113
Intellectual Disability,25 to 34,SA,Western Adelaide,Capacity Building,61000,55
Intellectual Disability,25 to 34,SA,Western Adelaide,Core,151000,61
Intellectual Disability,25 to 34,SA,Yorke and Mid North,Capacity Building,63000,32
Intellectual Disability,25 to 34,SA,Yorke and Mid North,Core,108000,23
Intellectual Disability,35 to 44,SA,Adelaide Hills,Capacity Building,78000,14
Intellectual Disability,35 to 44,SA,Adelaide Hills,Core,281000,14
Intellectual Disability,35 to 44,SA,"Barossa, Light and Lower North",Capacity Building,79000,15
Intellectual Disability,35 to 44,SA,"Barossa, Light and Lower North",Core,157000,15
Intellectual Disability,35 to 44,SA,Eastern Adelaide,Capacity Building,82000,22
Intellectual Disability,35 to 44,SA,Eastern Adelaide,Core,190000,24
Intellectual Disability,35 to 44,SA,Eyre and Western,Capacity Building,85000,22
Intellectual Disability,35 to 44,SA,Eyre and Western,Core,63000,17
Intellectual Disability,35 to 44,SA,Fleurieu and Kangaroo Island,Capacity Building,85000,14
Intellectual Disability,35 to 44,SA,Fleurieu and Kangaroo Island,Core,142000,17
Intellectual Disability,35 to 44,SA,Limestone Coast,Capacity Building,46000,22
Intellectual Disability,35 to 44,SA,Limestone Coast,Core,163000,20
Intellectual Disability,35 to 44,SA,Murray and Mallee,Capacity Building,61000,22
Intellectual Disability,35 to 44,SA,Murray and Mallee,Core,230000,15
Intellectual Disability,35 to 44,SA,Northern Adelaide,Capacity Building,71000,162
Intellectual Disability,35 to 44,SA,Northern Adelaide,Core,230000,137
Intellectual Disability,35 to 44,SA,Southern Adelaide,Capacity Building,73000,97
Intellectual Disability,35 to 44,SA,Southern Adelaide,Core,185000,103
Intellectual Disability,35 to 44,SA,Western Adelaide,Capacity Building,61000,43
Intellectual Disability,35 to 44,SA,Western Adelaide,Core,279000,31
Intellectual Disability,35 to 44,SA,Yorke and Mid North,Capacity Building,72000,28
Intellectual Disability,35 to 44,SA,Yorke and Mid North,Core,207000,13
Intellectual Disability,45 to 54,SA,Adelaide Hills,Capacity Building,72000,11
Intellectual Disability,45 to 54,SA,"Barossa, Light and Lower North",Core,137000,14
Intellectual Disability,45 to 54,SA,Eastern Adelaide,Capacity Building,65000,36
Intellectual Disability,45 to 54,SA,Eastern Adelaide,Core,251000,30
Intellectual Disability,45 to 54,SA,Fleurieu and Kangaroo Island,Core,242000,16
Intellectual Disability,45 to 54,SA,Limestone Coast,Capacity Building,55000,18
Intellectual Disability,45 to 54,SA,Limestone Coast,Core,236000,21
Intellectual Disability,45 to 54,SA,Murray and Mallee,Capacity Building,52000,22
Intellectual Disability,45 to 54,SA,Murray and Mallee,Core,239000,20
Intellectual Disability,45 to 54,SA,Northern Adelaide,Capacity Building,73000,132
Intellectual Disability,45 to 54,SA,Northern Adelaide,Core,317000,124
Intellectual Disability,45 to 54,SA,Southern Adelaide,Capacity Building,72000,106
Intellectual Disability,45 to 54,SA,Southern Adelaide,Capital,70000,11
Intellectual Disability,45 to 54,SA,Southern Adelaide,Core,324000,84
Intellectual Disability,45 to 54,SA,Western Adelaide,Capacity Building,69000,38
Intellectual Disability,45 to 54,SA,Western Adelaide,Core,224000,45
Intellectual Disability,45 to 54,SA,Yorke and Mid North,Capacity Building,68000,20
Intellectual Disability,45 to 54,SA,Yorke and Mid North,Core,123000,20
Intellectual Disability,55 to 64,SA,"Barossa, Light and Lower North",Core,137000,15
Intellectual Disability,55 to 64,SA,Eastern Adelaide,Capacity Building,62000,46
Intellectual Disability,55 to 64,SA,Eastern Adelaide,Core,303000,40
Intellectual Disability,55 to 64,SA,Limestone Coast,Capacity Building,42000,13
Intellectual Disability,55 to 64,SA,Limestone Coast,Core,120000,13
Intellectual Disability,55 to 64,SA,Murray and Mallee,Capacity Building,52000,21
Intellectual Disability,55 to 64,SA,Murray and Mallee,Core,252000,14
Intellectual Disability,55 to 64,SA,Northern Adelaide,Capacity Building,68000,129
Intellectual Disability,55 to 64,SA,Northern Adelaide,Core,335000,130
Intellectual Disability,55 to 64,SA,Southern Adelaide,Capacity Building,82000,114
Intellectual Disability,55 to 64,SA,Southern Adelaide,Core,318000,93
Intellectual Disability,55 to 64,SA,Western Adelaide,Capacity Building,71000,43
Intellectual Disability,55 to 64,SA,Western Adelaide,Core,224000,49
Intellectual Disability,55 to 64,SA,Yorke and Mid North,Capacity Building,65000,20
Intellectual Disability,55 to 64,SA,Yorke and Mid North,Core,157000,14
Intellectual Disability,65+,SA,Northern Adelaide,Capacity Building,60000,40
Intellectual Disability,65+,SA,Northern Adelaide,Core,342000,38
Intellectual Disability,65+,SA,Southern Adelaide,Capacity Building,70000,47
Intellectual Disability,65+,SA,Southern Adelaide,Core,386000,37
Intellectual Disability,65+,SA,Western Adelaide,Capacity Building,72000,12
Intellectual Disability,65+,SA,Western Adelaide,Core,196000,13
Intellectual Disability,7 to 14,SA,Adelaide Hills,Capacity Building,24000,31
Intellectual Disability,7 to 14,SA,Adelaide Hills,Core,36000,14
Intellectual Disability,7 to 14,SA,"Barossa, Light and Lower North",Capacity Building,31000,42
Intellectual Disability,7 to 14,SA,"Barossa, Light and Lower North",Core,29000,31
Intellectual Disability,7 to 14,SA,Eastern Adelaide,Capacity Building,25000,35
Intellectual Disability,7 to 14,SA,Eastern Adelaide,Core,17000,27
Intellectual Disability,7 to 14,SA,Eyre and Western,Capacity Building,26000,29
Intellectual Disability,7 to 14,SA,Eyre and Western,Core,12000,14
Intellectual Disability,7 to 14,SA,Fleurieu and Kangaroo Island,Capacity Building,19000,16
Intellectual Disability,7 to 14,SA,Limestone Coast,Capacity Building,15000,34
Intellectual Disability,7 to 14,SA,Limestone Coast,Core,14000,13
Intellectual Disability,7 to 14,SA,Murray and Mallee,Capacity Building,17000,40
Intellectual Disability,7 to 14,SA,Murray and Mallee,Core,26000,24
Intellectual Disability,7 to 14,SA,Northern Adelaide,Capacity Building,25000,266
Intellectual Disability,7 to 14,SA,Northern Adelaide,Capital,34000,19
Intellectual Disability,7 to 14,SA,Northern Adelaide,Core,28000,150
Intellectual Disability,7 to 14,SA,Southern Adelaide,Capacity Building,27000,138
Intellectual Disability,7 to 14,SA,Southern Adelaide,Core,37000,88
Intellectual Disability,7 to 14,SA,Western Adelaide,Capacity Building,24000,45
Intellectual Disability,7 to 14,SA,Western Adelaide,Core,20000,31
Intellectual Disability,7 to 14,SA,Yorke and Mid North,Capacity Building,33000,31
Intellectual Disability,7 to 14,SA,Yorke and Mid North,Core,58000,23
Multiple Sclerosis,35 to 44,SA,Northern Adelaide,Capacity Building,54000,15
Multiple Sclerosis,35 to 44,SA,Northern Adelaide,Core,106000,17
Multiple Sclerosis,35 to 44,SA,Southern Adelaide,Capacity Building,44000,11
Multiple Sclerosis,35 to 44,SA,Southern Adelaide,Core,86000,15
Multiple Sclerosis,45 to 54,SA,Eastern Adelaide,Capacity Building,60000,12
Multiple Sclerosis,45 to 54,SA,Eastern Adelaide,Core,284000,17
Multiple Sclerosis,45 to 54,SA,Northern Adelaide,Capacity Building,49000,28
Multiple Sclerosis,45 to 54,SA,Northern Adelaide,Core,106000,33
Multiple Sclerosis,45 to 54,SA,Southern Adelaide,Capacity Building,51000,17
Multiple Sclerosis,45 to 54,SA,Southern Adelaide,Core,117000,27
Multiple Sclerosis,45 to 54,SA,Western Adelaide,Core,124000,12
Multiple Sclerosis,55 to 64,SA,Eastern Adelaide,Core,210000,19
Multiple Sclerosis,55 to 64,SA,Fleurieu and Kangaroo Island,Core,52000,11
Multiple Sclerosis,55 to 64,SA,Northern Adelaide,Capacity Building,40000,32
Multiple Sclerosis,55 to 64,SA,Northern Adelaide,Core,169000,43
Multiple Sclerosis,55 to 64,SA,Southern Adelaide,Capacity Building,57000,27
Multiple Sclerosis,55 to 64,SA,Southern Adelaide,Core,117000,43
Multiple Sclerosis,55 to 64,SA,Western Adelaide,Core,153000,25
Multiple Sclerosis,65+,SA,Northern Adelaide,Capacity Building,45000,13
Multiple Sclerosis,65+,SA,Northern Adelaide,Core,147000,26
Multiple Sclerosis,65+,SA,Southern Adelaide,Capacity Building,43000,13
Multiple Sclerosis,65+,SA,Southern Adelaide,Core,164000,21
Other,45 to 54,SA,Northern Adelaide,Core,65000,19
Other,55 to 64,SA,Northern Adelaide,Capacity Building,63000,38
Other,55 to 64,SA,Northern Adelaide,Core,183000,28
Other,55 to 64,SA,Southern Adelaide,Capacity Building,48000,11
Other,7 to 14,SA,Northern Adelaide,Capacity Building,14000,11
Other Neurological,19 to 24,SA,Northern Adelaide,Core,86000,12
Other Neurological,25 to 34,SA,Northern Adelaide,Core,263000,17
Other Neurological,25 to 34,SA,Southern Adelaide,Core,338000,13
Other Neurological,35 to 44,SA,Northern Adelaide,Capacity Building,64000,20
Other Neurological,35 to 44,SA,Northern Adelaide,Core,228000,18
Other Neurological,35 to 44,SA,Southern Adelaide,Capacity Building,85000,15
Other Neurological,45 to 54,SA,Eastern Adelaide,Core,422000,13
Other Neurological,45 to 54,SA,Northern Adelaide,Capacity Building,58000,34
Other Neurological,45 to 54,SA,Northern Adelaide,Core,167000,35
Other Neurological,45 to 54,SA,Southern Adelaide,Capacity Building,63000,24
Other Neurological,45 to 54,SA,Southern Adelaide,Core,305000,31
Other Neurological,55 to 64,SA,Adelaide Hills,Core,252000,11
Other Neurological,55 to 64,SA,Eastern Adelaide,Capacity Building,64000,27
Other Neurological,55 to 64,SA,Eastern Adelaide,Core,206000,34
Other Neurological,55 to 64,SA,Limestone Coast,Core,177000,11
Other Neurological,55 to 64,SA,Northern Adelaide,Capacity Building,70000,74
Other Neurological,55 to 64,SA,Northern Adelaide,Capital,77000,12
Other Neurological,55 to 64,SA,Northern Adelaide,Core,266000,63
Other Neurological,55 to 64,SA,Southern Adelaide,Capacity Building,77000,49
Other Neurological,55 to 64,SA,Southern Adelaide,Core,153000,79
Other Neurological,55 to 64,SA,Western Adelaide,Capacity Building,67000,20
Other Neurological,55 to 64,SA,Western Adelaide,Core,145000,28
Other Neurological,65+,SA,Eastern Adelaide,Capacity Building,55000,19
Other Neurological,65+,SA,Eastern Adelaide,Core,143000,22
Other Neurological,65+,SA,Northern Adelaide,Capacity Building,58000,25
Other Neurological,65+,SA,Northern Adelaide,Core,143000,29
Other Neurological,65+,SA,Southern Adelaide,Capacity Building,71000,32
Other Neurological,65+,SA,Southern Adelaide,Core,179000,45
Other Neurological,65+,SA,Western Adelaide,Capacity Building,48000,14
Other Neurological,65+,SA,Western Adelaide,Core,226000,16
Other Neurological,7 to 14,SA,Northern Adelaide,Capacity Building,37000,20
Other Neurological,7 to 14,SA,Northern Adelaide,Core,23000,16
Other Neurological,7 to 14,SA,Southern Adelaide,Capacity Building,32000,25
Other Physical,25 to 34,SA,Northern Adelaide,Core,52000,21
Other Physical,35 to 44,SA,Northern Adelaide,Capacity Building,62000,26
Other Physical,35 to 44,SA,Northern Adelaide,Core,106000,32
Other Physical,35 to 44,SA,Southern Adelaide,Core,114000,22
Other Physical,45 to 54,SA,Eastern Adelaide,Core,56000,20
Other Physical,45 to 54,SA,Northern Adelaide,Capacity Building,61000,35
Other Physical,45 to 54,SA,Northern Adelaide,Core,65000,52
Other Physical,45 to 54,SA,Southern Adelaide,Capacity Building,49000,20
Other Physical,45 to 54,SA,Southern Adelaide,Core,76000,38
Other Physical,55 to 64,SA,Adelaide Hills,Core,23000,12
Other Physical,55 to 64,SA,"Barossa, Light and Lower North",Capacity Building,40000,16
Other Physical,55 to 64,SA,"Barossa, Light and Lower North",Core,55000,14
Other Physical,55 to 64,SA,Eastern Adelaide,Capacity Building,38000,22
Other Physical,55 to 64,SA,Eastern Adelaide,Core,81000,26
Other Physical,55 to 64,SA,Eyre and Western,Capacity Building,22000,11
Other Physical,55 to 64,SA,Limestone Coast,Capacity Building,36000,12
Other Physical,55 to 64,SA,Limestone Coast,Core,72000,12
Other Physical,55 to 64,SA,Northern Adelaide,Capacity Building,46000,54
Other Physical,55 to 64,SA,Northern Adelaide,Capital,55000,16
Other Physical,55 to 64,SA,Northern Adelaide,Core,84000,98
Other Physical,55 to 64,SA,Southern Adelaide,Capacity Building,38000,41
Other Physical,55 to 64,SA,Southern Adelaide,Core,63000,50
Other Physical,55 to 64,SA,Western Adelaide,Capacity Building,53000,20
Other Physical,55 to 64,SA,Western Adelaide,Core,42000,48
Other Physical,55 to 64,SA,Yorke and Mid North,Core,29000,19
Other Physical,65+,SA,Eastern Adelaide,Core,56000,20
Other Physical,65+,SA,Northern Adelaide,Capacity Building,35000,33
Other Physical,65+,SA,Northern Adelaide,Core,63000,49
Other Physical,65+,SA,Southern Adelaide,Capacity Building,31000,28
Other Physical,65+,SA,Southern Adelaide,Core,84000,27
Other Physical,65+,SA,Western Adelaide,Core,50000,14
Other Physical,7 to 14,SA,Northern Adelaide,Capacity Building,27000,20
Other Physical,7 to 14,SA,Northern Adelaide,Core,37000,12
Other Physical,7 to 14,SA,Southern Adelaide,Capacity Building,24000,18
Other Physical,7 to 14,SA,Southern Adelaide,Core,31000,11
Other Sensory/Speech,15 to 18,SA,Northern Adelaide,Capacity Building,5000,17
Other Sensory/Speech,15 to 18,SA,Southern Adelaide,Capacity Building,8000,15
Other Sensory/Speech,7 to 14,SA,"Barossa, Light and Lower North",Capacity Building,6000,11
Other Sensory/Speech,7 to 14,SA,Northern Adelaide,Capacity Building,6000,64
Other Sensory/Speech,7 to 14,SA,Northern Adelaide,Core,2000,26
Other Sensory/Speech,7 to 14,SA,Southern Adelaide,Capacity Building,6000,33
Other Sensory/Speech,7 to 14,SA,Southern Adelaide,Core,2000,14
Other Sensory/Speech,7 to 14,SA,Western Adelaide,Capacity Building,8000,15
Other Sensory/Speech,7 to 14,SA,Yorke and Mid North,Capacity Building,8000,14
Psychosocial disability,19 to 24,SA,Northern Adelaide,Capacity Building,55000,19
Psychosocial disability,25 to 34,SA,Eastern Adelaide,Capacity Building,54000,30
Psychosocial disability,25 to 34,SA,Eastern Adelaide,Core,90000,35
Psychosocial disability,25 to 34,SA,Northern Adelaide,Capacity Building,54000,78
Psychosocial disability,25 to 34,SA,Northern Adelaide,Core,203000,54
Psychosocial disability,25 to 34,SA,Southern Adelaide,Capacity Building,54000,52
Psychosocial disability,25 to 34,SA,Southern Adelaide,Core,123000,54
Psychosocial disability,25 to 34,SA,Western Adelaide,Capacity Building,59000,20
Psychosocial disability,25 to 34,SA,Western Adelaide,Core,97000,19
Psychosocial disability,35 to 44,SA,Eastern Adelaide,Capacity Building,50000,64
Psychosocial disability,35 to 44,SA,Eastern Adelaide,Core,84000,46
Psychosocial disability,35 to 44,SA,Eyre and Western,Capacity Building,43000,17
Psychosocial disability,35 to 44,SA,Far North (SA),Capacity Building,12000,16
Psychosocial disability,35 to 44,SA,Murray and Mallee,Capacity Building,61000,11
Psychosocial disability,35 to 44,SA,Murray and Mallee,Core,60000,16
Psychosocial disability,35 to 44,SA,Northern Adelaide,Capacity Building,64000,123
Psychosocial disability,35 to 44,SA,Northern Adelaide,Core,173000,120
Psychosocial disability,35 to 44,SA,Southern Adelaide,Capacity Building,46000,105
Psychosocial disability,35 to 44,SA,Southern Adelaide,Core,78000,78
Psychosocial disability,35 to 44,SA,Western Adelaide,Capacity Building,43000,41
Psychosocial disability,35 to 44,SA,Western Adelaide,Core,152000,38
Psychosocial disability,45 to 54,SA,"Barossa, Light and Lower North",Capacity Building,39000,21
Psychosocial disability,45 to 54,SA,"Barossa, Light and Lower North",Core,66000,15
Psychosocial disability,45 to 54,SA,Eastern Adelaide,Capacity Building,62000,68
Psychosocial disability,45 to 54,SA,Eastern Adelaide,Core,57000,91
Psychosocial disability,45 to 54,SA,Eyre and Western,Capacity Building,42000,14
Psychosocial disability,45 to 54,SA,Eyre and Western,Core,27000,11
Psychosocial disability,45 to 54,SA,Limestone Coast,Capacity Building,19000,11
Psychosocial disability,45 to 54,SA,Murray and Mallee,Capacity Building,50000,18
Psychosocial disability,45 to 54,SA,Murray and Mallee,Core,56000,22
Psychosocial disability,45 to 54,SA,Northern Adelaide,Capacity Building,51000,146
Psychosocial disability,45 to 54,SA,Northern Adelaide,Core,133000,132
Psychosocial disability,45 to 54,SA,Southern Adelaide,Capacity Building,62000,87
Psychosocial disability,45 to 54,SA,Southern Adelaide,Core,93000,114
Psychosocial disability,45 to 54,SA,Western Adelaide,Capacity Building,50000,68
Psychosocial disability,45 to 54,SA,Western Adelaide,Core,85000,46
Psychosocial disability,45 to 54,SA,Yorke and Mid North,Capacity Building,45000,23
Psychosocial disability,45 to 54,SA,Yorke and Mid North,Core,64000,16
Psychosocial disability,55 to 64,SA,"Barossa, Light and Lower North",Capacity Building,44000,17
Psychosocial disability,55 to 64,SA,"Barossa, Light and Lower North",Core,61000,17
Psychosocial disability,55 to 64,SA,Eastern Adelaide,Capacity Building,47000,82
